filename,adaptivegreedy___hs_exact,adaptivegreedy_ku__hs_exact,adaptivegreedy_kv__hs_exact,adaptivegreedy_ku_kv__hs_exact,adaptivegreedy_ke__hs_exact,adaptivegreedy_ku_ke__hs_exact,adaptivegreedy_kv_ke__hs_exact,adaptivegreedy_ku_kv_ke__hs_exact,greedy___hs_exact,greedy_ku__hs_exact,greedy_kv__hs_exact,greedy_ku_kv__hs_exact,greedy_ke__hs_exact,greedy_ku_ke__hs_exact,greedy_kv_ke__hs_exact,greedy_ku_kv_ke__hs_exact
exact_017.hgr,2179.0,2179.0,2172.0,2141.0,2036.0,2036.0,1981.0,1967.0,2219.0,2219.0,2214.0,2178.0,2067.0,2067.0,2007.0,2007.0
exact_018.hgr,243.0,243.0,243.0,233.0,243.0,243.0,241.0,241.0,243.0,243.0,243.0,245.0,243.0,243.0,241.0,241.0
exact_019.hgr,244.0,244.0,244.0,244.0,244.0,244.0,242.0,242.0,251.0,251.0,251.0,249.0,251.0,251.0,249.0,249.0
exact_020.hgr,2114.0,2114.0,2113.0,2091.0,1989.0,1989.0,1949.0,1938.0,2149.0,2149.0,2156.0,2119.0,2021.0,2021.0,1975.0,1976.0
exact_021.hgr,2044.0,2044.0,2044.0,2044.0,2044.0,2044.0,2044.0,2044.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0
exact_022.hgr,2098.0,2098.0,2087.0,2023.0,1920.0,1920.0,1827.0,1809.0,2134.0,2134.0,2134.0,2069.0,1964.0,1964.0,1864.0,1864.0
exact_023.hgr,1119.0,1119.0,1114.0,1110.0,1048.0,1048.0,1018.0,1015.0,1138.0,1138.0,1141.0,1114.0,1059.0,1059.0,1028.0,1028.0
exact_024.hgr,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0
exact_025.hgr,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0
exact_026.hgr,2431.0,2431.0,2427.0,2375.0,2263.0,2263.0,2191.0,2171.0,2468.0,2468.0,2479.0,2430.0,2297.0,2297.0,2218.0,2218.0
exact_027.hgr,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0
exact_028.hgr,997.0,997.0,997.0,988.0,938.0,938.0,922.0,917.0,1012.0,1012.0,1016.0,996.0,951.0,951.0,934.0,934.0
exact_029.hgr,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
exact_030.hgr,1491.0,1491.0,1484.0,1470.0,1396.0,1396.0,1359.0,1356.0,1514.0,1514.0,1515.0,1486.0,1416.0,1416.0,1379.0,1379.0
exact_031.hgr,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0
exact_032.hgr,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
exact_033.hgr,147.0,147.0,146.0,146.0,25.0,25.0,25.0,25.0,146.0,146.0,146.0,146.0,25.0,25.0,25.0,25.0
